         3097756478 function calls (3026930682 primitive calls) in 24211.480 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001 24223.202 24223.202 Experiment.py:187(run)
   137809    6.216    0.000 22582.810    0.164 training.py:126(_method_wrapper)
   137809   20.994    0.000 22231.207    0.161 training.py:1486(predict)
       50    0.003    0.000 12613.015  252.260 Experiment.py:180(train)
       50    1.589    0.032 12613.013  252.260 Experiment.py:113(train)
       51    8.595    0.169 11503.616  225.561 Experiment.py:167(play_episode)
       50    0.013    0.000 11492.732  229.855 function_base.py:2080(__call__)
       50    8.366    0.167 11492.719  229.854 function_base.py:2179(_vectorize_call)
    69611    6.605    0.000 11484.340    0.165 Experiment.py:101(Q)
    72479    5.287    0.000 11435.272    0.158 Experiment.py:82(move)
  2349890 11142.740    0.005 11168.258    0.005 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   278391    3.506    0.000 10412.478    0.037 data_adapter.py:1135(enumerate_epochs)
  5937579    5.360    0.000 10410.787    0.002 {built-in method builtins.iter}
   137859    1.423    0.000 10405.428    0.075 dataset_ops.py:403(__iter__)
   137865    3.648    0.000 10403.328    0.075 iterator_ops.py:648(__init__)
   137859    9.599    0.000 10390.919    0.075 iterator_ops.py:700(_create_iterator)
   137859    1.406    0.000 10181.131    0.074 gen_dataset_ops.py:2987(make_iterator)
   137859    8.288    0.000 10116.113    0.073 data_adapter.py:1073(__init__)
   137859   10.250    0.000 10044.442    0.073 data_adapter.py:254(__init__)
   413577   37.003    0.000 8854.136    0.021 dataset_ops.py:3186(__init__)
824901/824505   27.357    0.000 8618.737    0.010 function.py:3147(_maybe_define_function)
   413577    3.837    0.000 8589.528    0.021 function.py:2931(get_concrete_function)
417394/417306   21.141    0.000 8586.509    0.021 function.py:2870(_get_concrete_function_garbage_collected)
413822/413756   22.960    0.000 8409.407    0.020 function.py:3047(_create_graph_function)
413822/413756   62.659    0.000 7828.768    0.019 func_graph.py:801(func_graph_from_py_func)
   137859    0.999    0.000 4914.922    0.036 dataset_ops.py:1704(flat_map)
   137859   11.587    0.000 4913.923    0.036 dataset_ops.py:4119(__init__)
   275718    2.241    0.000 4547.633    0.016 dataset_ops.py:1557(map)
   413577    7.921    0.000 4517.722    0.011 dataset_ops.py:3358(wrapper_fn)
   413577   12.255    0.000 4458.898    0.011 dataset_ops.py:3292(_wrapper_helper)
413598/413580    7.294    0.000 4306.739    0.010 api.py:247(wrapper)
413639/413591   16.192    0.000 4288.585    0.010 api.py:417(converted_call)
413623/413602    4.044    0.000 4059.870    0.010 api.py:330(_call_unconverted)
1518462/1518317  354.283    0.000 3742.024    0.002 op_def_library.py:299(_apply_op_helper)
1816688/1383014    7.359    0.000 3561.176    0.003 dispatch.py:198(wrapper)
   137859    7.747    0.000 2811.979    0.020 data_adapter.py:330(slice_batch_indices)
3312033/3311692   83.654    0.000 2764.663    0.001 func_graph.py:528(_create_op_internal)
  3312440  122.412    0.000 2647.629    0.001 ops.py:3418(_create_op_internal)
   137859    5.509    0.000 2597.304    0.019 data_adapter.py:373(slice_inputs)
407418/407374   11.205    0.000 2430.574    0.006 def_function.py:757(__call__)
407418/407374    4.055    0.000 2401.523    0.006 def_function.py:798(_call)
407395/407351    3.596    0.000 2395.662    0.006 function.py:2825(__call__)
   137859   12.691    0.000 2304.861    0.017 dataset_ops.py:4069(__init__)
   407418    4.275    0.000 2279.787    0.006 function.py:1827(_filtered_call)
   407440   10.529    0.000 2260.701    0.006 function.py:1850(_call_flat)
   137859   11.539    0.000 2240.531    0.016 dataset_ops.py:4031(__init__)
   407440   15.465    0.000 2221.661    0.005 function.py:509(call)
   407242    4.244    0.000 2200.999    0.005 execute.py:33(quick_execute)
   407242 2195.518    0.005 2195.518    0.005 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
  3312440  213.013    0.000 1741.025    0.001 ops.py:1839(__init__)
6657487/6657214   58.177    0.000 1731.471    0.000 ops.py:1448(convert_to_tensor)
  2501864   12.870    0.000 1568.675    0.001 constant_op.py:166(constant)
  2501864   71.194    0.000 1555.805    0.001 constant_op.py:267(_constant_impl)
  2377961   31.799    0.000 1310.613    0.001 nest.py:573(map_structure)
   275718    1.923    0.000 1306.154    0.005 array_ops.py:1028(slice)
   275718    8.021    0.000 1304.231    0.005 gen_array_ops.py:9212(_slice)
  2377961    7.937    0.000 1175.789    0.000 nest.py:635(<listcomp>)
   413822   80.308    0.000 1160.513    0.003 auto_control_deps.py:301(__exit__)
       50    0.001    0.000 1053.863   21.077 training.py:106(_method_wrapper)
       50    4.918    0.098 1053.861   21.077 training.py:824(fit)
  3312962   51.654    0.000  932.043    0.000 auto_control_deps.py:519(_get_resource_inputs)
   689373    2.300    0.000  910.267    0.001 constant_op.py:335(_constant_tensor_conversion_function)
  3312440  141.545    0.000  767.656    0.000 ops.py:1764(_create_c_op)
   827644   39.044    0.000  726.417    0.001 func_graph.py:1148(_get_defun_inputs)
   137859    1.409    0.000  706.080    0.005 data_adapter.py:315(permutation)
  3312019   53.885    0.000  705.965    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
   413822    1.523    0.000  703.894    0.002 func_graph.py:1136(_get_defun_inputs_from_args)
   137861    5.292    0.000  703.718    0.005 math_ops.py:1730(range)
  1674488    6.330    0.000  660.024    0.000 tensor_conversion_registry.py:50(_default_conversion_function)
35711780/22687934   64.106    0.000  640.142    0.000 {built-in method builtins.next}
   413872    4.561    0.000  605.762    0.001 func_graph.py:930(convert)
   413872    6.297    0.000  593.111    0.001 auto_control_deps.py:182(mark_as_return)
   566944    6.384    0.000  584.362    0.001 array_ops.py:244(identity)
   566944    9.103    0.000  569.924    0.001 gen_array_ops.py:3973(identity)
   552818   28.962    0.000  563.072    0.001 graph_only_ops.py:29(graph_placeholder)
   413822   20.017    0.000  550.454    0.001 function.py:1460(__init__)
   137859    1.173    0.000  523.473    0.004 data_adapter.py:393(grab_batch)
   137909    1.619    0.000  514.687    0.004 data_adapter.py:394(<lambda>)
   137909    2.909    0.000  512.092    0.004 array_ops.py:4589(gather)
   137909    5.172    0.000  507.254    0.004 gen_array_ops.py:3790(gather_v2)
19232697/12722978   44.899    0.000  502.052    0.000 contextlib.py:108(__enter__)
  4419539   72.910    0.000  462.522    0.000 ops.py:2471(get_attr)
   275718    1.748    0.000  457.320    0.002 dataset_ops.py:569(from_tensors)
   275718    9.905    0.000  455.572    0.002 dataset_ops.py:2980(__init__)
   137871    1.401    0.000  433.858    0.003 array_ops.py:59(reshape)
   413822    8.918    0.000  430.193    0.001 function.py:597(__init__)
   137871    3.541    0.000  420.641    0.003 gen_array_ops.py:8143(reshape)
