         1949307078 function calls (1910843969 primitive calls) in 6151.562 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001 6161.381 6161.381 Experiment.py:187(run)
    90967    4.191    0.000 4622.384    0.051 training.py:126(_method_wrapper)
    90967   10.808    0.000 4538.137    0.050 training.py:1486(predict)
       50    0.004    0.000 3738.426   74.769 Experiment.py:180(train)
       50    2.116    0.042 3738.422   74.768 Experiment.py:113(train)
    91017    3.387    0.000 2683.106    0.029 data_adapter.py:1073(__init__)
    91017    3.858    0.000 2648.901    0.029 data_adapter.py:254(__init__)
       50    0.003    0.000 2397.963   47.959 function_base.py:2063(__call__)
       50    1.256    0.025 2397.960   47.959 function_base.py:2154(_vectorize_call)
    46745    3.230    0.000 2396.698    0.051 Experiment.py:101(Q)
       51    1.654    0.032 2366.292   46.398 Experiment.py:167(play_episode)
    47043    2.131    0.000 2342.478    0.050 Experiment.py:82(move)
   273051   10.891    0.000 2286.804    0.008 dataset_ops.py:3186(__init__)
506581/505833    8.962    0.000 2247.829    0.004 function.py:3147(_maybe_define_function)
277836/277660    5.372    0.000 2208.719    0.008 function.py:2870(_get_concrete_function_garbage_collected)
   273051    1.119    0.000 2207.704    0.008 function.py:2931(get_concrete_function)
273385/273275    6.095    0.000 2164.831    0.008 function.py:3047(_create_graph_function)
228612/228524    6.205    0.000 2132.814    0.009 def_function.py:757(__call__)
228612/228524    2.220    0.000 2115.600    0.009 def_function.py:798(_call)
228589/228501    1.692    0.000 2111.485    0.009 function.py:2825(__call__)
   228612    2.033    0.000 2054.690    0.009 function.py:1827(_filtered_call)
   228634    4.977    0.000 2047.212    0.009 function.py:1850(_call_flat)
   228634   11.166    0.000 2023.857    0.009 function.py:509(call)
   228304    2.343    0.000 2010.210    0.009 execute.py:33(quick_execute)
   228304 2007.008    0.009 2007.008    0.009 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
273385/273275   18.635    0.000 1991.070    0.007 func_graph.py:801(func_graph_from_py_func)
       50    0.001    0.000 1314.279   26.286 training.py:106(_method_wrapper)
       50    2.002    0.040 1314.277   26.286 training.py:824(fit)
   182034    0.832    0.000 1275.718    0.007 dataset_ops.py:1557(map)
    91017    0.321    0.000 1201.853    0.013 dataset_ops.py:1704(flat_map)
    91017    3.707    0.000 1201.531    0.013 dataset_ops.py:4119(__init__)
  1552450 1106.330    0.001 1111.925    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
   273051    1.859    0.000 1061.436    0.004 dataset_ops.py:3358(wrapper_fn)
   273051    3.727    0.000 1047.980    0.004 dataset_ops.py:3292(_wrapper_helper)
273094/273055    2.637    0.000 1010.234    0.004 api.py:247(wrapper)
273138/273066    5.165    0.000 1004.987    0.004 api.py:417(converted_call)
273120/273077    1.225    0.000  940.948    0.003 api.py:330(_call_unconverted)
   183985    1.933    0.000  885.091    0.005 data_adapter.py:1135(enumerate_epochs)
  3573687    1.386    0.000  883.461    0.000 {built-in method builtins.iter}
    91017    0.625    0.000  882.075    0.010 dataset_ops.py:403(__iter__)
    91026    1.253    0.000  881.310    0.010 iterator_ops.py:648(__init__)
    91017    3.499    0.000  877.443    0.010 iterator_ops.py:700(_create_iterator)
1201579/914829    2.235    0.000  841.145    0.001 dispatch.py:198(wrapper)
1004567/1004268   78.911    0.000  838.605    0.001 op_def_library.py:299(_apply_op_helper)
    91017    0.751    0.000  824.473    0.009 gen_dataset_ops.py:2987(make_iterator)
    91017    1.526    0.000  682.275    0.007 data_adapter.py:373(slice_inputs)
2190200/2189683   20.261    0.000  669.639    0.000 func_graph.py:528(_create_op_internal)
    91017    3.670    0.000  664.960    0.007 dataset_ops.py:4031(__init__)
  2190783   26.341    0.000  642.564    0.000 ops.py:3418(_create_op_internal)
    91017    1.981    0.000  611.591    0.007 data_adapter.py:330(slice_batch_indices)
    91017    3.734    0.000  609.926    0.007 dataset_ops.py:4069(__init__)
  2190783   51.594    0.000  435.104    0.000 ops.py:1839(__init__)
4401223/4400669   14.065    0.000  417.738    0.000 ops.py:1448(convert_to_tensor)
  1652336    2.990    0.000  375.976    0.000 constant_op.py:166(constant)
  1652336   16.100    0.000  372.986    0.000 constant_op.py:267(_constant_impl)
   273385   18.406    0.000  370.918    0.001 auto_control_deps.py:301(__exit__)
1465258/1453708    8.746    0.000  327.642    0.000 nest.py:573(map_structure)
  2192017   11.997    0.000  319.280    0.000 auto_control_deps.py:519(_get_resource_inputs)
   182033    0.578    0.000  293.447    0.002 array_ops.py:1028(slice)
   182033    1.737    0.000  292.869    0.002 gen_array_ops.py:9212(_slice)
1465258/1453708    2.122    0.000  289.741    0.000 nest.py:635(<listcomp>)
  2190172   12.437    0.000  269.437    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
   546770   12.534    0.000  205.429    0.000 func_graph.py:1148(_get_defun_inputs)
   455174    0.441    0.000  201.985    0.000 constant_op.py:335(_constant_tensor_conversion_function)
   273385    0.579    0.000  200.085    0.001 func_graph.py:1136(_get_defun_inputs_from_args)
  2924275   17.173    0.000  198.344    0.000 ops.py:2471(get_attr)
  2190783   31.175    0.000  193.179    0.000 ops.py:1764(_create_c_op)
    91017    0.532    0.000  188.849    0.002 data_adapter.py:315(permutation)
    91020    1.658    0.000  188.043    0.002 math_ops.py:1731(range)
  1105974    1.571    0.000  173.848    0.000 tensor_conversion_registry.py:50(_default_conversion_function)
   273385    6.238    0.000  165.907    0.001 function.py:1460(__init__)
   366467    8.497    0.000  159.934    0.000 graph_only_ops.py:29(graph_placeholder)
  2924275  135.782    0.000  144.925    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
23649276/15013704   13.825    0.000  141.202    0.000 {built-in method builtins.next}
    91017    0.301    0.000  134.965    0.001 data_adapter.py:393(grab_batch)
   273435    1.597    0.000  133.321    0.000 func_graph.py:930(convert)
    91067    0.457    0.000  133.087    0.001 data_adapter.py:394(<lambda>)
