         1612064486 function calls (1540329159 primitive calls) in 3894.139 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.000 3800.137 1900.068 Experiment.py:191(run)
    52944    2.196    0.000 2548.381    0.048 training.py:126(_method_wrapper)
    52944    4.944    0.000 2513.269    0.047 training.py:1486(predict)
       50    0.003    0.000 2309.342   46.187 Experiment.py:184(train)
       50    0.547    0.011 2309.339   46.187 Experiment.py:113(train)
    52994    1.635    0.000 1524.418    0.029 data_adapter.py:1073(__init__)
    52994    1.954    0.000 1506.602    0.028 data_adapter.py:254(__init__)
130146/130050    2.986    0.000 1392.914    0.011 def_function.py:757(__call__)
130146/130050    0.865    0.000 1384.933    0.011 def_function.py:798(_call)
130121/130025    0.828    0.000 1382.512    0.011 function.py:2825(__call__)
   130146    1.020    0.000 1353.712    0.010 function.py:1827(_filtered_call)
   130170    2.594    0.000 1349.744    0.010 function.py:1850(_call_flat)
   130170    4.408    0.000 1339.153    0.010 function.py:509(call)
   129810    0.909    0.000 1332.979    0.010 execute.py:33(quick_execute)
   129810 1331.835    0.010 1331.835    0.010 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
       52    0.908    0.017 1323.561   25.453 Experiment.py:171(play_episode)
   158982    5.779    0.000 1320.156    0.008 dataset_ops.py:3186(__init__)
       50    0.002    0.000 1312.966   26.259 function_base.py:2063(__call__)
       50    0.529    0.011 1312.964   26.259 function_base.py:2154(_vectorize_call)
    27673    1.721    0.000 1312.431    0.047 Experiment.py:101(Q)
    39285    1.210    0.000 1302.142    0.033 Experiment.py:82(move)
294373/293557    4.490    0.000 1300.918    0.004 function.py:3147(_maybe_define_function)
164082/163890    2.999    0.000 1281.480    0.008 function.py:2870(_get_concrete_function_garbage_collected)
   158982    0.635    0.000 1279.231    0.008 function.py:2931(get_concrete_function)
159346/159226    3.538    0.000 1258.503    0.008 function.py:3047(_create_graph_function)
159346/159226    9.201    0.000 1176.293    0.007 func_graph.py:801(func_graph_from_py_func)
       50    0.001    0.000  986.470   19.729 training.py:106(_method_wrapper)
       50    1.321    0.026  986.467   19.729 training.py:824(fit)
   105988    0.398    0.000  710.006    0.007 dataset_ops.py:1557(map)
    52994    0.157    0.000  696.567    0.013 dataset_ops.py:1704(flat_map)
    52994    1.711    0.000  696.411    0.013 dataset_ops.py:4119(__init__)
   158982    0.990    0.000  644.616    0.004 dataset_ops.py:3358(wrapper_fn)
   158982    1.765    0.000  636.875    0.004 dataset_ops.py:3292(_wrapper_helper)
159025/158986    1.230    0.000  615.435    0.004 api.py:247(wrapper)
159072/158998    2.463    0.000  612.696    0.004 api.py:417(converted_call)
   905998  580.059    0.001  583.536    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
159053/159010    0.624    0.000  579.677    0.004 api.py:330(_call_unconverted)
586545/586225   49.660    0.000  524.155    0.001 op_def_library.py:299(_apply_op_helper)
708241/534709    1.262    0.000  518.409    0.001 dispatch.py:198(wrapper)
  4454839    1.450    0.000  488.292    0.000 {built-in method builtins.iter}
   107862    0.745    0.000  488.136    0.005 data_adapter.py:1135(enumerate_epochs)
    52994    0.255    0.000  486.842    0.009 dataset_ops.py:403(__iter__)
    53003    0.678    0.000  486.511    0.009 iterator_ops.py:648(__init__)
    52994    1.623    0.000  484.462    0.009 iterator_ops.py:700(_create_iterator)
    52994    0.246    0.000  451.665    0.009 gen_dataset_ops.py:2987(make_iterator)
1278072/1277508   12.009    0.000  411.475    0.000 func_graph.py:528(_create_op_internal)
  1278708   16.727    0.000  395.331    0.000 ops.py:3418(_create_op_internal)
    52994    0.972    0.000  381.743    0.007 data_adapter.py:330(slice_batch_indices)
    52994    0.834    0.000  377.892    0.007 data_adapter.py:373(slice_inputs)
    52994    1.752    0.000  375.514    0.007 dataset_ops.py:4031(__init__)
    52994    1.811    0.000  334.094    0.006 dataset_ops.py:4069(__init__)
