         991410035 function calls (961514344 primitive calls) in 6113.263 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001 6105.027 3052.513 Experiment.py:191(run)
       50    0.005    0.000 5053.033  101.061 Experiment.py:184(train)
       50    0.478    0.010 5053.028  101.061 Experiment.py:113(train)
105089/104993    2.732    0.000 4247.216    0.040 def_function.py:757(__call__)
105089/104993    0.858    0.000 4239.846    0.040 def_function.py:798(_call)
105064/104968    0.808    0.000 4237.396    0.040 function.py:2825(__call__)
   105089    0.986    0.000 4210.799    0.040 function.py:1827(_filtered_call)
   105113    2.411    0.000 4207.150    0.040 function.py:1850(_call_flat)
   105113    3.968    0.000 4197.185    0.040 function.py:509(call)
   104753    1.002    0.000 4194.674    0.040 execute.py:33(quick_execute)
   104753 4193.476    0.040 4193.476    0.040 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
       50    0.002    0.000 3374.840   67.497 training.py:106(_method_wrapper)
       50    1.401    0.028 3374.837   67.497 training.py:824(fit)
    39970    1.965    0.000 2582.545    0.065 training.py:126(_method_wrapper)
    39970    4.533    0.000 2551.210    0.064 training.py:1486(predict)
       50    0.002    0.000 1668.616   33.372 function_base.py:2063(__call__)
       50    0.592    0.012 1668.614   33.372 function_base.py:2154(_vectorize_call)
    26711    1.768    0.000 1668.017    0.062 Experiment.py:101(Q)
    40020    1.433    0.000 1192.328    0.030 data_adapter.py:1073(__init__)
    40020    1.609    0.000 1177.764    0.029 data_adapter.py:254(__init__)
   120060    4.435    0.000 1030.783    0.009 dataset_ops.py:3186(__init__)
230394/229578    3.716    0.000 1020.060    0.004 function.py:3147(_maybe_define_function)
125160/124968    2.332    0.000 1000.207    0.008 function.py:2870(_get_concrete_function_garbage_collected)
   120060    0.505    0.000  998.097    0.008 function.py:2931(get_concrete_function)
120424/120304    3.736    0.000  982.902    0.008 function.py:3047(_create_graph_function)
       52    0.637    0.012  975.578   18.761 Experiment.py:171(play_episode)
    26832    0.754    0.000  963.294    0.036 Experiment.py:82(move)
120424/120304    7.266    0.000  917.160    0.008 func_graph.py:801(func_graph_from_py_func)
    80040    0.318    0.000  561.322    0.007 dataset_ops.py:1557(map)
    40020    0.127    0.000  536.856    0.013 dataset_ops.py:1704(flat_map)
    40020    1.300    0.000  536.729    0.013 dataset_ops.py:4119(__init__)
   120060    0.779    0.000  495.827    0.004 dataset_ops.py:3358(wrapper_fn)
   120060    1.377    0.000  489.842    0.004 dataset_ops.py:3292(_wrapper_helper)
120103/120064    0.953    0.000  473.257    0.004 api.py:247(wrapper)
120150/120076    1.903    0.000  471.140    0.004 api.py:417(converted_call)
   685286  450.538    0.001  453.223    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
120131/120088    0.501    0.000  445.451    0.004 api.py:330(_call_unconverted)
443831/443511   38.490    0.000  402.506    0.001 op_def_library.py:299(_apply_op_helper)
536195/404892    1.081    0.000  401.396    0.001 dispatch.py:198(wrapper)
    81837    0.680    0.000  374.628    0.005 data_adapter.py:1135(enumerate_epochs)
  2179312    0.805    0.000  374.295    0.000 {built-in method builtins.iter}
    40020    0.197    0.000  373.484    0.009 dataset_ops.py:403(__iter__)
    40029    0.561    0.000  373.226    0.009 iterator_ops.py:648(__init__)
    40020    1.259    0.000  371.574    0.009 iterator_ops.py:700(_create_iterator)
    40020    0.205    0.000  346.158    0.009 gen_dataset_ops.py:2987(make_iterator)
966696/966132    9.225    0.000  319.606    0.000 func_graph.py:528(_create_op_internal)
   967332   12.953    0.000  307.216    0.000 ops.py:3418(_create_op_internal)
    40020    1.427    0.000  304.146    0.008 dataset_ops.py:4031(__init__)
    40020    0.773    0.000  293.601    0.007 data_adapter.py:330(slice_batch_indices)
    40020    0.667    0.000  290.719    0.007 data_adapter.py:373(slice_inputs)
    40020    1.434    0.000  256.858    0.006 dataset_ops.py:4069(__init__)
   967332   24.044    0.000  205.919    0.000 ops.py:1839(__init__)
1949412/1948817    7.180    0.000  196.364    0.000 ops.py:1448(convert_to_tensor)
   731948    1.467    0.000  175.998    0.000 constant_op.py:166(constant)
   731948    7.630    0.000  174.531    0.000 constant_op.py:267(_constant_impl)
   120424    8.635    0.000  165.975    0.001 auto_control_deps.py:301(__exit__)
671325/666177    4.696    0.000  153.119    0.000 nest.py:573(map_structure)
   968664    5.604    0.000  141.950    0.000 auto_control_deps.py:519(_get_resource_inputs)
    80039    0.238    0.000  136.832    0.002 array_ops.py:1028(slice)
    80039    0.801    0.000  136.595    0.002 gen_array_ops.py:9212(_slice)
671325/666177    1.133    0.000  133.761    0.000 nest.py:635(<listcomp>)
   966668    5.749    0.000  118.137    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
   200195    0.225    0.000   94.694    0.000 constant_op.py:335(_constant_tensor_conversion_function)
    40020    0.210    0.000   93.682    0.002 data_adapter.py:315(permutation)
    40023    0.785    0.000   93.314    0.002 math_ops.py:1731(range)
   967332   15.290    0.000   89.841    0.000 ops.py:1764(_create_c_op)
  1293189    7.756    0.000   87.422    0.000 ops.py:2471(get_attr)
   240848    5.128    0.000   86.967    0.000 func_graph.py:1148(_get_defun_inputs)
   120424    0.220    0.000   84.333    0.001 func_graph.py:1136(_get_defun_inputs_from_args)
   491553    0.695    0.000   81.452    0.000 tensor_conversion_registry.py:50(_default_conversion_function)
       13    0.142    0.011   78.217    6.017 _dill.py:253(dump)
       13    0.000    0.000   78.074    6.006 _dill.py:414(dump)
       13    0.000    0.000   78.074    6.006 pickle.py:398(dump)
14695920/13   26.784    0.000   78.074    6.006 pickle.py:457(save)
127414/37    0.181    0.000   78.070    2.110 pickle.py:774(save_list)
127414/37    0.607    0.000   78.069    2.110 pickle.py:787(_batch_appends)
722845/2267    3.724    0.000   77.994    0.034 _dill.py:903(save_module_dict)
722845/2267    1.307    0.000   77.973    0.034 pickle.py:814(save_dict)
722845/2267    5.241    0.000   77.959    0.034 pickle.py:827(_batch_setitems)
575274/10552    2.677    0.000   77.823    0.007 pickle.py:539(save_reduce)
       12    0.023    0.002   74.640    6.220 Experiment.py:226(save_status)
   120474    0.549    0.000   67.856    0.001 func_graph.py:930(convert)
10499356/6653388    7.148    0.000   67.257    0.000 {built-in method builtins.next}
   162684    3.394    0.000   67.100    0.000 graph_only_ops.py:29(graph_placeholder)
   120474    0.796    0.000   66.011    0.001 auto_control_deps.py:182(mark_as_return)
   168924    0.927    0.000   65.838    0.000 array_ops.py:244(identity)
   168924    1.056    0.000   63.213    0.000 gen_array_ops.py:3973(identity)
  1293189   56.211    0.000   61.703    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
   120424    2.371    0.000   61.218    0.001 function.py:1460(__init__)
    64490    0.202    0.000   59.152    0.001 callbacks.py:281(_call_batch_hook)
    64490    0.774    0.000   58.405    0.001 callbacks.py:332(_call_batch_hook_helper)
    32245    0.187    0.000   56.503    0.002 callbacks.py:432(on_train_batch_end)
    32245    0.175    0.000   56.183    0.002 callbacks.py:302(_call_batch_end_hook)
    40020    0.132    0.000   55.329    0.001 data_adapter.py:393(grab_batch)
    40070    0.168    0.000   54.418    0.001 data_adapter.py:394(<lambda>)
    40070    0.301    0.000   54.142    0.001 array_ops.py:4589(gather)
    40070    0.696    0.000   53.533    0.001 gen_array_ops.py:3790(gather_v2)
    34092    3.390    0.000   53.105    0.002 generic_utils.py:528(update)
    32245    0.109    0.000   51.340    0.002 callbacks.py:960(on_train_batch_end)
    32245    0.482    0.000   51.232    0.002 callbacks.py:999(_batch_update_progbar)
5652533/3731861    2.993    0.000   50.879    0.000 contextlib.py:79(__enter__)
    80039    0.201    0.000   47.993    0.001 dataset_ops.py:569(from_tensors)
    80039    0.903    0.000   47.792    0.001 dataset_ops.py:2980(__init__)
   120424    0.941    0.000   47.298    0.000 function.py:597(__init__)
   120424    7.151    0.000   45.686    0.000 function.py:412(__init__)
    40037    0.173    0.000   43.538    0.001 array_ops.py:59(reshape)
    40037    0.362    0.000   42.141    0.001 gen_array_ops.py:8143(reshape)
   560278    6.448    0.000   40.890    0.000 dataset_ops.py:186(__init__)
   360433   11.098    0.000   40.766    0.000 tensor_util.py:360(make_tensor_proto)
  1127556    7.914    0.000   39.688    0.000 func_graph.py:365(inner_cm)
    40020    0.145    0.000   38.418    0.001 dataset_ops.py:606(from_tensor_slices)
    40020    0.821    0.000   38.272    0.001 dataset_ops.py:2999(__init__)
    40019    0.120    0.000   38.239    0.001 dataset_ops.py:1002(concatenate)
    40019    0.848    0.000   38.119    0.001 dataset_ops.py:3504(__init__)
    34104    0.429    0.000   37.760    0.001 iostream.py:334(flush)
    40023    0.506    0.000   33.029    0.001 gen_math_ops.py:7268(_range)
74072022/74070522   20.086    0.000   32.776    0.000 {built-in method builtins.isinstance}
   120606    4.627    0.000   30.485    0.000 func_graph.py:165(__init__)
    80039    0.624    0.000   29.709    0.000 gen_dataset_ops.py:6595(tensor_dataset)
   967332    9.198    0.000   29.709    0.000 ops.py:3521(_create_op_helper)
  3422111   28.936    0.000   28.936    0.000 {method 'acquire' of '_thread.lock' objects}
5652533/3736426    9.045    0.000   28.787    0.000 contextlib.py:85(__exit__)
    34104    0.305    0.000   28.180    0.001 threading.py:533(wait)
    40020    0.810    0.000   28.156    0.001 iterator_ops.py:531(__del__)
    40019    0.566    0.000   27.853    0.001 gen_dataset_ops.py:853(concatenate_dataset)
    34002    0.363    0.000   27.752    0.001 threading.py:263(wait)
  1571891    1.295    0.000   27.424    0.000 nest.py:536(pack_sequence_as)
  1611915    4.629    0.000   26.949    0.000 nest.py:496(_pack_sequence_as)
  1209555    2.201    0.000   26.548    0.000 tf_stack.py:131(extract_stack)
   320160    0.629    0.000   26.455    0.000 dataset_ops.py:2956(__init__)
    40020    0.510    0.000   26.359    0.001 gen_dataset_ops.py:6664(tensor_slice_dataset)
   967332   15.322    0.000   25.447    0.000 ops.py:1737(_NodeDef)
   563778    2.974    0.000   25.074    0.000 func_graph.py:362(as_default)
   967332   24.755    0.000   24.755    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
    40020    0.205    0.000   24.123    0.001 gen_dataset_ops.py:1262(delete_iterator)
  1209555   23.830    0.000   23.845    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
  5652533    9.517    0.000   22.652    0.000 contextlib.py:157(helper)
   120618    9.991    0.000   21.325    0.000 ops.py:2862(__init__)
   241064    0.910    0.000   20.899    0.000 func_graph.py:69(convert_structure_to_signature)
5838838/5731591   11.603    0.000   20.415    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1133748    6.134    0.000   19.967    0.000 ops.py:5580(get_controller)
   561276    4.036    0.000   19.798    0.000 base.py:800(_track_trackable)
   120400    0.911    0.000   19.680    0.000 function.py:3632(decorated)
    40020    0.188    0.000   19.087    0.000 gen_dataset_ops.py:2003(flat_map_dataset)
  2899656    3.333    0.000   18.742    0.000 object_identity.py:195(update)
    40020    0.535    0.000   17.753    0.000 dataset_ops.py:356(_apply_options)
   200100    0.319    0.000   17.167    0.000 dataset_ops.py:2967(__init__)
