         512551587 function calls (478504204 primitive calls) in 2194.304 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000 1282.147  641.074 Experiment.py:191(run)
        3  586.434  195.478 1178.934  392.978 _dill.py:253(dump)
        2    0.964    0.482 1009.233  504.617 Experiment.py:171(play_episode)
    10433    1.084    0.000  999.472    0.096 Experiment.py:82(move)
     9238   63.947    0.007  974.350    0.105 training.py:126(_method_wrapper)
        1    0.001    0.001  913.428  913.428 Experiment.py:204(save)
     9238    1.850    0.000  905.610    0.098 training.py:1486(predict)
        3    0.000    0.000  592.500  197.500 _dill.py:414(dump)
        3    0.000    0.000  592.499  197.500 pickle.py:474(dump)
26188787/3  287.783    0.000  592.499  197.500 pickle.py:533(save)
 226020/7    2.225    0.000  592.497   84.642 pickle.py:922(save_list)
 226020/7    6.264    0.000  592.496   84.642 pickle.py:935(_batch_appends)
1026087/18824   25.814    0.000  591.519    0.031 pickle.py:619(save_reduce)
1289586/8193   31.349    0.000  591.116    0.072 _dill.py:903(save_module_dict)
1289586/8193   14.134    0.000  590.743    0.072 pickle.py:962(save_dict)
1289586/8193   89.196    0.000  590.529    0.072 pickle.py:975(_batch_setitems)
     9238    0.487    0.000  431.990    0.047 data_adapter.py:1073(__init__)
     9238    0.618    0.000  427.656    0.046 data_adapter.py:254(__init__)
    27714    1.999    0.000  381.559    0.014 dataset_ops.py:3186(__init__)
45738/45602    1.729    0.000  373.686    0.008 function.py:3147(_maybe_define_function)
28564/28532    1.197    0.000  370.412    0.013 function.py:2870(_get_concrete_function_garbage_collected)
    27714    0.262    0.000  369.947    0.013 function.py:2931(get_concrete_function)
27775/27755    1.214    0.000  363.102    0.013 function.py:3047(_create_graph_function)
27775/27755    4.000    0.000  343.501    0.012 func_graph.py:801(func_graph_from_py_func)
   157578  317.831    0.002  319.018    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
  1824259    0.697    0.000  308.680    0.000 {built-in method builtins.iter}
    18476    0.227    0.000  308.386    0.017 data_adapter.py:1135(enumerate_epochs)
     9238    0.081    0.000  307.983    0.033 dataset_ops.py:403(__iter__)
     9240    0.268    0.000  307.862    0.033 iterator_ops.py:648(__init__)
     9238    0.669    0.000  307.080    0.033 iterator_ops.py:700(_create_iterator)
     9238    0.069    0.000  297.952    0.032 gen_dataset_ops.py:2987(make_iterator)
        2    0.001    0.000  272.367  136.184 Experiment.py:226(save_status)
    18476    0.125    0.000  200.473    0.011 dataset_ops.py:1557(map)
     9238    0.042    0.000  199.461    0.022 dataset_ops.py:1704(flat_map)
     9238    0.621    0.000  199.419    0.022 dataset_ops.py:4119(__init__)
    27714    0.420    0.000  198.389    0.007 dataset_ops.py:3358(wrapper_fn)
    27714    0.682    0.000  195.550    0.007 dataset_ops.py:3292(_wrapper_helper)
    27715    0.477    0.000  188.849    0.007 api.py:247(wrapper)
27723/27717    1.027    0.000  188.248    0.007 api.py:417(converted_call)
27720/27719    0.275    0.000  172.884    0.006 api.py:330(_call_unconverted)
102038/101984   19.334    0.000  157.348    0.002 op_def_library.py:299(_apply_op_helper)
121920/92771    0.482    0.000  153.741    0.002 dispatch.py:198(wrapper)
17150/17134    0.946    0.000  149.885    0.009 def_function.py:757(__call__)
17150/17134    0.220    0.000  147.950    0.009 def_function.py:798(_call)
17145/17129    0.248    0.000  146.790    0.009 function.py:2825(__call__)
    17150    0.338    0.000  141.215    0.008 function.py:1827(_filtered_call)
    17154    0.681    0.000  140.332    0.008 function.py:1850(_call_flat)
    17154    1.259    0.000  138.530    0.008 function.py:509(call)
    17126    0.269    0.000  137.877    0.008 execute.py:33(quick_execute)
    17126  137.574    0.008  137.574    0.008 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
     9238    0.331    0.000  116.295    0.013 data_adapter.py:330(slice_batch_indices)
     9238    0.281    0.000  108.764    0.012 data_adapter.py:373(slice_inputs)
222547/222505    3.598    0.000  107.546    0.000 func_graph.py:528(_create_op_internal)
     9238    0.565    0.000  104.102    0.011 dataset_ops.py:4031(__init__)
   222601    8.085    0.000  102.269    0.000 ops.py:3418(_create_op_internal)
     9238    0.659    0.000   96.246    0.010 dataset_ops.py:4069(__init__)
447571/447465    3.637    0.000   69.063    0.000 ops.py:1448(convert_to_tensor)
   223005   10.835    0.000   61.597    0.000 ops.py:1839(__init__)
   167855    0.862    0.000   60.856    0.000 constant_op.py:166(constant)
   167855    3.646    0.000   59.994    0.000 constant_op.py:267(_constant_impl)
   129700    1.705    0.000   57.274    0.000 nest.py:573(map_structure)
    18476    0.111    0.000   53.151    0.003 array_ops.py:1028(slice)
    18476    0.412    0.000   53.040    0.003 gen_array_ops.py:9212(_slice)
   129700    0.477    0.000   51.365    0.000 nest.py:635(<listcomp>)
    27775    6.336    0.000   50.998    0.002 auto_control_deps.py:301(__exit__)
   222777    4.395    0.000   38.977    0.000 auto_control_deps.py:519(_get_resource_inputs)
     9238    0.072    0.000   33.603    0.004 data_adapter.py:315(permutation)
     9238    0.410    0.000   33.476    0.004 math_ops.py:1730(range)
2415320/1535310    5.821    0.000   32.460    0.000 {built-in method builtins.next}
    46274    0.142    0.000   32.110    0.001 constant_op.py:335(_constant_tensor_conversion_function)
    55550    1.851    0.000   29.157    0.001 func_graph.py:1148(_get_defun_inputs)
   112278    0.388    0.000   28.945    0.000 tensor_conversion_registry.py:50(_default_conversion_function)
    27775    0.155    0.000   28.125    0.001 func_graph.py:1136(_get_defun_inputs_from_args)
    27775    0.239    0.000   27.393    0.001 func_graph.py:930(convert)
    27775    0.303    0.000   26.761    0.001 auto_control_deps.py:182(mark_as_return)
    38512    0.426    0.000   26.545    0.001 array_ops.py:244(identity)
    38512    0.556    0.000   25.649    0.001 gen_array_ops.py:3973(identity)
   222601    7.872    0.000   25.235    0.000 ops.py:1764(_create_c_op)
   222491    3.542    0.000   25.203    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
1297157/857539    1.313    0.000   24.723    0.000 contextlib.py:108(__enter__)
 26188790   19.555    0.000   23.094    0.000 pickle.py:217(commit_frame)
    37337    1.269    0.000   22.357    0.001 graph_only_ops.py:29(graph_placeholder)
     9238    0.054    0.000   21.988    0.002 data_adapter.py:393(grab_batch)
     9238    0.064    0.000   21.615    0.002 data_adapter.py:394(<lambda>)
     9238    0.148    0.000   21.501    0.002 array_ops.py:4589(gather)
 32599742   16.877    0.000   21.453    0.000 pickle.py:241(write)
     9238    0.392    0.000   21.284    0.002 gen_array_ops.py:3790(gather_v2)
  2541893   16.905    0.000   20.910    0.000 pickle.py:489(memoize)
   259642    5.801    0.000   19.975    0.000 func_graph.py:365(inner_cm)
 21365461   14.402    0.000   19.332    0.000 pickle.py:524(get)
    18476    0.080    0.000   19.162    0.001 dataset_ops.py:569(from_tensors)
    18476    0.546    0.000   19.082    0.001 dataset_ops.py:2980(__init__)
    27801    1.061    0.000   18.322    0.001 function.py:1460(__init__)
     9238    0.092    0.000   16.998    0.002 array_ops.py:59(reshape)
     9238    0.187    0.000   16.322    0.002 gen_array_ops.py:8143(reshape)
   297773    4.383    0.000   16.103    0.000 ops.py:2471(get_attr)
     9238    0.049    0.000   15.707    0.002 dataset_ops.py:1002(concatenate)
     9238    0.451    0.000   15.658    0.002 dataset_ops.py:3504(__init__)
     9238    0.062    0.000   15.468    0.002 dataset_ops.py:606(from_tensor_slices)
     9238    0.419    0.000   15.406    0.002 dataset_ops.py:2999(__init__)
    83162    5.189    0.000   14.661    0.000 tensor_util.py:360(make_tensor_proto)
   129332    3.397    0.000   14.631    0.000 dataset_ops.py:186(__init__)
    27801    0.424    0.000   13.210    0.000 function.py:597(__init__)
   223005    4.973    0.000   13.127    0.000 ops.py:3521(_create_op_helper)
   384012    2.183    0.000   13.021    0.000 Experiment.py:93(<lambda>)
    27801    3.188    0.000   12.581    0.000 function.py:412(__init__)
     9238    0.210    0.000   12.188    0.001 gen_math_ops.py:7268(_range)
   129821    1.247    0.000   11.944    0.000 func_graph.py:362(as_default)
     9238    0.271    0.000   11.277    0.001 gen_dataset_ops.py:853(concatenate_dataset)
1297157/858275    2.078    0.000   11.275    0.000 contextlib.py:117(__exit__)
    18476    0.284    0.000   11.196    0.001 gen_dataset_ops.py:6595(tensor_dataset)
595556/456670    7.332    0.000   11.159    0.000 {built-in method builtins.any}
    30104    0.393    0.000   11.049    0.000 Hanabi.py:373(save)
     9238    0.236    0.000   10.414    0.001 gen_dataset_ops.py:6664(tensor_slice_dataset)
 29352204    8.676    0.000   10.024    0.000 {method 'get' of 'dict' objects}
  2579222    7.924    0.000    9.641    0.000 __init__.py:1424(info)
   330715    1.197    0.000    9.603    0.000 nest.py:536(pack_sequence_as)
    73904    0.333    0.000    9.579    0.000 dataset_ops.py:2956(__init__)
   260334    4.107    0.000    9.478    0.000 ops.py:5580(get_controller)
    55586    0.592    0.000    9.312    0.000 func_graph.py:69(convert_structure_to_signature)
  4823326    6.891    0.000    8.972    0.000 _dill.py:380(get)
   339957    2.270    0.000    8.804    0.000 nest.py:496(_pack_sequence_as)
   129822    1.804    0.000    8.162    0.000 tf_contextlib.py:25(contextmanager)
    27833    1.652    0.000    7.853    0.000 func_graph.py:165(__init__)
    30104    0.256    0.000    7.374    0.000 Hanabi.py:381(<listcomp>)
19945409/19944226    5.674    0.000    7.171    0.000 {built-in method builtins.isinstance}
   150520    0.599    0.000    7.118    0.000 Hanabi.py:245(save)
   222601    4.593    0.000    6.938    0.000 ops.py:1737(_NodeDef)
   314096    0.890    0.000    6.923    0.000 {built-in method _functools.reduce}
  1297157    3.804    0.000    6.882    0.000 contextlib.py:238(helper)
    27772    0.384    0.000    6.737    0.000 function.py:3632(decorated)
   384012    2.488    0.000    6.699    0.000 Hanabi.py:159(toarray)
   129940    0.965    0.000    6.572    0.000 ops.py:6458(__enter__)
   150520    0.957    0.000    6.440    0.000 Hanabi.py:246(<listcomp>)
