         3559327010 function calls (3470398832 primitive calls) in 13921.861 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.004    0.002 13939.836 6969.918 Experiment.py:187(run)
      200    0.011    0.000 10571.601   52.858 Experiment.py:180(train)
      200    1.885    0.009 10571.589   52.858 Experiment.py:113(train)
   152898    8.040    0.000 8437.238    0.055 training.py:126(_method_wrapper)
   152898   19.773    0.000 8299.223    0.054 training.py:1486(predict)
418510/418174   13.045    0.000 6178.315    0.015 def_function.py:757(__call__)
418510/418174    4.211    0.000 6142.967    0.015 def_function.py:798(_call)
418425/418089    3.653    0.000 6132.872    0.015 function.py:2825(__call__)
   418510    4.222    0.000 6015.589    0.014 function.py:1827(_filtered_call)
   418594   10.607    0.000 5999.410    0.014 function.py:1850(_call_flat)
   418594   19.693    0.000 5951.973    0.014 function.py:509(call)
   417334    4.819    0.000 5926.362    0.014 execute.py:33(quick_execute)
   417334 5920.186    0.014 5920.186    0.014 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
      200    0.008    0.000 5546.325   27.732 function_base.py:2063(__call__)
      200    2.296    0.011 5546.317   27.732 function_base.py:2154(_vectorize_call)
   103037    7.293    0.000 5543.999    0.054 Experiment.py:101(Q)
   153098    6.621    0.000 5053.441    0.033 data_adapter.py:1073(__init__)
   153098    7.351    0.000 4988.547    0.033 data_adapter.py:254(__init__)
      200    0.004    0.000 4988.448   24.942 training.py:106(_method_wrapper)
      200    6.589    0.033 4988.437   24.942 training.py:824(fit)
   459294   22.984    0.000 4313.989    0.009 dataset_ops.py:3186(__init__)
896159/893303   17.013    0.000 4257.176    0.005 function.py:3147(_maybe_define_function)
477144/476472   10.282    0.000 4170.570    0.009 function.py:2870(_get_concrete_function_garbage_collected)
   459294    2.319    0.000 4162.385    0.009 function.py:2931(get_concrete_function)
460558/460138   11.943    0.000 4089.625    0.009 function.py:3047(_create_graph_function)
460558/460138   34.336    0.000 3781.898    0.008 func_graph.py:801(func_graph_from_py_func)
      202    2.354    0.012 3137.572   15.533 Experiment.py:167(play_episode)
   105414    2.969    0.000 3087.612    0.029 Experiment.py:82(move)
   306196    1.516    0.000 2401.223    0.008 dataset_ops.py:1557(map)
   153098    0.497    0.000 2246.698    0.015 dataset_ops.py:1704(flat_map)
   153098    6.199    0.000 2246.201    0.015 dataset_ops.py:4119(__init__)
   459294    3.476    0.000 2051.344    0.004 dataset_ops.py:3358(wrapper_fn)
   459294    6.661    0.000 2024.653    0.004 dataset_ops.py:3292(_wrapper_helper)
  2623556 1963.328    0.001 1974.594    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
459337/459298    4.739    0.000 1949.415    0.004 api.py:247(wrapper)
459474/459340    9.232    0.000 1939.919    0.004 api.py:417(converted_call)
459425/459382    2.405    0.000 1827.230    0.004 api.py:330(_call_unconverted)
2054334/1548229    4.561    0.000 1637.723    0.001 dispatch.py:198(wrapper)
1695054/1694104  160.495    0.000 1631.543    0.001 op_def_library.py:299(_apply_op_helper)
   314495    3.603    0.000 1605.293    0.005 data_adapter.py:1135(enumerate_epochs)
  7085638    3.478    0.000 1603.134    0.000 {built-in method builtins.iter}
   153098    1.039    0.000 1599.629    0.010 dataset_ops.py:403(__iter__)
   153107    2.570    0.000 1598.361    0.010 iterator_ops.py:648(__init__)
   153098    6.680    0.000 1590.798    0.010 iterator_ops.py:700(_create_iterator)
   153098    1.319    0.000 1473.969    0.010 gen_dataset_ops.py:2987(make_iterator)
3694013/3692039   38.026    0.000 1298.357    0.000 func_graph.py:528(_create_op_internal)
   153098    2.830    0.000 1281.090    0.008 data_adapter.py:373(slice_inputs)
   153098    6.649    0.000 1261.631    0.008 dataset_ops.py:4031(__init__)
  3696239   51.775    0.000 1248.001    0.000 ops.py:3418(_create_op_internal)
   153098    3.638    0.000 1191.639    0.008 data_adapter.py:330(slice_batch_indices)
   153098    6.533    0.000 1138.075    0.007 dataset_ops.py:4069(__init__)
  3696239  101.176    0.000  840.002    0.000 ops.py:1839(__init__)
7456068/7454243   30.128    0.000  809.172    0.000 ops.py:1448(convert_to_tensor)
  2803630    5.841    0.000  725.180    0.000 constant_op.py:166(constant)
  2803630   31.894    0.000  719.339    0.000 constant_op.py:267(_constant_impl)
2614244/2602523   18.803    0.000  654.234    0.000 nest.py:573(map_structure)
   460558   35.319    0.000  648.304    0.001 auto_control_deps.py:301(__exit__)
2614244/2602523    4.776    0.000  568.800    0.000 nest.py:635(<listcomp>)
   306190    1.093    0.000  553.474    0.002 array_ops.py:1028(slice)
   306190    3.458    0.000  552.381    0.002 gen_array_ops.py:9212(_slice)
  3700511   22.568    0.000  549.613    0.000 auto_control_deps.py:519(_get_resource_inputs)
  3693985   22.917    0.000  455.082    0.000 auto_control_deps_utils.py:89(get_read_write_resource_inputs)
   921116   23.458    0.000  380.163    0.000 func_graph.py:1148(_get_defun_inputs)
   765755    0.937    0.000  378.438    0.000 constant_op.py:335(_constant_tensor_conversion_function)
   153098    1.026    0.000  373.872    0.002 data_adapter.py:315(permutation)
   153101    3.139    0.000  372.207    0.002 math_ops.py:1731(range)
  3696239   61.094    0.000  369.731    0.000 ops.py:1764(_create_c_op)
   460558    1.107    0.000  369.376    0.001 func_graph.py:1136(_get_defun_inputs_from_args)
  4940550   31.788    0.000  347.963    0.000 ops.py:2471(get_attr)
  1884327    3.429    0.000  347.124    0.000 tensor_conversion_registry.py:50(_default_conversion_function)
   621296   15.292    0.000  292.951    0.000 graph_only_ops.py:29(graph_placeholder)
   460558   11.925    0.000  292.611    0.001 function.py:1460(__init__)
40100957/25423109   27.886    0.000  277.229    0.000 {built-in method builtins.next}
   460758    2.792    0.000  272.140    0.001 func_graph.py:930(convert)
   460758    4.190    0.000  264.068    0.001 auto_control_deps.py:182(mark_as_return)
   646890    4.181    0.000  261.938    0.000 array_ops.py:244(identity)
   153098    0.563    0.000  251.336    0.002 data_adapter.py:393(grab_batch)
   646890    4.464    0.000  250.957    0.000 gen_array_ops.py:3973(identity)
   153298    0.896    0.000  247.412    0.002 data_adapter.py:394(<lambda>)
  4940550  233.369    0.000  246.996    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
   153298    2.130    0.000  246.007    0.002 array_ops.py:4589(gather)
   153298    3.525    0.000  242.512    0.002 gen_array_ops.py:3790(gather_v2)
   460558    4.614    0.000  226.711    0.000 function.py:597(__init__)
       42    0.070    0.002  224.450    5.344 Experiment.py:220(save_status)
   282228    0.883    0.000  224.012    0.001 callbacks.py:281(_call_batch_hook)
   282228    3.224    0.000  220.565    0.001 callbacks.py:332(_call_batch_hook_helper)
   460558   32.942    0.000  219.289    0.000 function.py:412(__init__)
   141114    0.791    0.000  213.283    0.002 callbacks.py:432(on_train_batch_end)
   141114    0.677    0.000  211.918    0.002 callbacks.py:302(_call_batch_end_hook)
21589677/14258795   11.402    0.000  206.786    0.000 contextlib.py:79(__enter__)
   306190    0.928    0.000  203.819    0.001 dataset_ops.py:569(from_tensors)
   306190    4.556    0.000  202.891    0.001 dataset_ops.py:2980(__init__)
       43    0.301    0.007  199.886    4.649 _dill.py:253(dump)
       43    0.001    0.000  199.583    4.641 _dill.py:414(dump)
       43    0.001    0.000  199.581    4.641 pickle.py:398(dump)
34808201/43   64.463    0.000  199.580    4.641 pickle.py:457(save)
307090/127    0.502    0.000  199.566    1.571 pickle.py:774(save_list)
307090/127    1.861    0.000  199.564    1.571 pickle.py:787(_batch_appends)
1700481/2115    9.013    0.000  199.495    0.094 _dill.py:903(save_module_dict)
1700481/2115    3.321    0.000  199.473    0.094 pickle.py:814(save_dict)
1700481/2115   18.312    0.000  199.457    0.094 pickle.py:827(_batch_setitems)
   149613   10.452    0.000  198.126    0.001 generic_utils.py:528(update)
1353378/24830    6.368    0.000  197.725    0.008 pickle.py:539(save_reduce)
   141114    0.378    0.000  189.659    0.001 callbacks.py:960(on_train_batch_end)
   141114    2.083    0.000  189.281    0.001 callbacks.py:999(_batch_update_progbar)
  2143360   30.200    0.000  184.751    0.000 dataset_ops.py:186(__init__)
  1378545   48.691    0.000  180.770    0.000 tensor_util.py:360(make_tensor_proto)
   153115    0.770    0.000  172.696    0.001 array_ops.py:59(reshape)
  4307810   32.467    0.000  167.732    0.000 func_graph.py:365(inner_cm)
   153115    1.474    0.000  166.909    0.001 gen_array_ops.py:8143(reshape)
    85250    1.125    0.000  160.742    0.002 iostream.py:334(flush)
   153098    0.691    0.000  159.566    0.001 dataset_ops.py:606(from_tensor_slices)
   153098    3.593    0.000  158.875    0.001 dataset_ops.py:2999(__init__)
   153092    0.636    0.000  153.391    0.001 dataset_ops.py:1002(concatenate)
   153092    3.558    0.000  152.755    0.001 dataset_ops.py:3504(__init__)
 12552256  149.345    0.000  149.345    0.000 {method 'acquire' of '_thread.lock' objects}
    85250    0.823    0.000  145.426    0.002 threading.py:533(wait)
    84796    1.096    0.000  144.253    0.002 threading.py:263(wait)
280970326/280964753   81.579    0.000  137.118    0.000 {built-in method builtins.isinstance}
   153101    2.030    0.000  126.441    0.001 gen_math_ops.py:7268(_range)
   153098    3.375    0.000  124.470    0.001 iterator_ops.py:531(__del__)
  6073767    5.765    0.000  122.593    0.000 nest.py:536(pack_sequence_as)
  1224784    2.834    0.000  121.598    0.000 dataset_ops.py:2956(__init__)
   306190    2.648    0.000  121.228    0.000 gen_dataset_ops.py:6595(tensor_dataset)
   461191   19.400    0.000  120.721    0.000 func_graph.py:165(__init__)
  6226869   19.566    0.000  120.012    0.000 nest.py:496(_pack_sequence_as)
  3696239   37.378    0.000  118.724    0.000 ops.py:3521(_create_op_helper)
21589677/14273084   33.827    0.000  117.691    0.000 contextlib.py:85(__exit__)
  4621968    9.538    0.000  109.872    0.000 tf_stack.py:131(extract_stack)
   153092    2.367    0.000  109.379    0.001 gen_dataset_ops.py:853(concatenate_dataset)
   153098    0.958    0.000  107.276    0.001 gen_dataset_ops.py:1262(delete_iterator)
   153098    2.239    0.000  107.102    0.001 gen_dataset_ops.py:6664(tensor_slice_dataset)
  3696239  106.629    0.000  106.629    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
  2153905   11.228    0.000  105.481    0.000 func_graph.py:362(as_default)
  3696239   62.712    0.000  103.000    0.000 ops.py:1737(_NodeDef)
  4621968   98.225    0.000   98.257    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
   153098    0.883    0.000   94.391    0.001 gen_dataset_ops.py:2003(flat_map_dataset)
   460474    4.193    0.000   90.258    0.000 function.py:3632(decorated)
   921872    3.908    0.000   88.921    0.000 func_graph.py:69(convert_structure_to_signature)
  4329482   27.707    0.000   87.291    0.000 ops.py:5580(get_controller)
  2146788   17.987    0.000   84.340    0.000 base.py:800(_track_trackable)
21589677/21589664   21.603    0.000   83.265    0.000 contextlib.py:157(helper)
22210917/21798368   44.933    0.000   82.782    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   461234   42.286    0.000   81.674    0.000 ops.py:2862(__init__)
   153098    2.172    0.000   80.991    0.001 dataset_ops.py:356(_apply_options)
   765490    1.447    0.000   78.317    0.000 dataset_ops.py:2967(__init__)
 23411233   15.195    0.000   77.568    0.000 nest.py:274(flatten)
  3713156   41.926    0.000   76.617    0.000 ops.py:2312(inputs)
   900066   16.237    0.000   76.218    0.000 function.py:2977(_cache_key)
   306196    0.726    0.000   70.220    0.000 dataset_ops.py:1128(repeat)
   153098    0.886    0.000   69.805    0.000 gen_dataset_ops.py:3036(map_dataset)
   306196    3.782    0.000   69.494    0.000 dataset_ops.py:3552(__init__)
   153098    0.834    0.000   69.321    0.000 gen_dataset_ops.py:5057(parallel_map_dataset_v2)
   460474    7.021    0.000   68.291    0.000 function.py:2767(__init__)
   153098    2.131    0.000   66.488    0.000 dataset_ops.py:4375(__init__)
2153942/2153940    6.474    0.000   65.943    0.000 tf_contextlib.py:25(contextmanager)
9861713/7559024   14.857    0.000   63.679    0.000 {built-in method builtins.any}
  2001185   14.777    0.000   63.187    0.000 ops.py:3868(_get_op_def)
 55754360   21.313    0.000   63.181    0.000 ops.py:2376(type)
   153098    0.805    0.000   62.953    0.000 dataset_ops.py:920(range)
 23411233   61.053    0.000   62.373    0.000 {built-in method tensorflow.python._pywrap_utils.Flatten}
   153098    3.025    0.000   62.148    0.000 dataset_ops.py:3570(__init__)
21589677/21589664   51.749    0.000   60.949    0.000 contextlib.py:59(__init__)
84937202/84923596   44.053    0.000   60.562    0.000 {built-in method builtins.getattr}
   907933    2.635    0.000   58.758    0.000 tf_utils.py:513(to_numpy_or_python_type)
  5205326    6.243    0.000   57.723    0.000 {built-in method _functools.reduce}
  6216625   16.345    0.000   57.490    0.000 Hanabi.py:159(toarray)
   460558   57.256    0.000   57.256    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphToFunction_wrapper}
 24251446   46.167    0.000   57.184    0.000 dtypes.py:606(as_dtype)
  2628901   56.463    0.000   56.463    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
   459288   11.056    0.000   55.793    0.000 structure.py:70(normalize_element)
